"seed","map_idx","merit_mean","merit_median","merit_sd","nutrients_consumed_mean","nutrients_consumed_median","nutrients_consumed_sd","moves_off_path_mean","moves_off_path_median","moves_off_path_sd","base_score_mean","base_score_median","base_score_sd","seed_order","category"
48,1,1.88356e+14,1.88356e+14,NA,369,369,NA,48,48,NA,321,321,NA,76,"Pattern cycling"
48,2,3.48178e+14,3.48178e+14,NA,451,451,NA,124,124,NA,327,327,NA,76,"Pattern cycling"
48,3,2.8332e+13,2.8332e+13,NA,552,552,NA,2,2,NA,550,550,NA,76,"Pattern cycling"
49,0,2.09288e+17,2.09288e+17,NA,377,377,NA,30,30,NA,347,347,NA,121,"Pattern cycling"
49,1,2.83701e+14,2.83701e+14,NA,344,344,NA,19,19,NA,325,325,NA,121,"Pattern cycling"
49,2,2.84463e+16,2.84463e+16,NA,382,382,NA,12,12,NA,370,370,NA,121,"Pattern cycling"
49,3,9.71769e+12,9.71769e+12,NA,539,539,NA,8,8,NA,531,531,NA,121,"Pattern cycling"
50,0,1.66955e+16,1.66955e+16,NA,357,357,NA,32,32,NA,325,325,NA,46,"Pattern cycling"
50,1,2.19332e+13,2.19332e+13,NA,409,409,NA,109,109,NA,300,300,NA,46,"Pattern cycling"
50,2,1.1258e+12,1.1258e+12,NA,390,390,NA,119,119,NA,271,271,NA,46,"Pattern cycling"
50,3,6.8866e+11,6.8866e+11,NA,488,488,NA,4,4,NA,484,484,NA,46,"Pattern cycling"
51,0,1.34745e+12,1.34745e+12,NA,315,315,NA,72,72,NA,243,243,NA,28,"Pattern cycling"
51,1,7.47448e+11,7.47448e+11,NA,305,305,NA,38,38,NA,267,267,NA,28,"Pattern cycling"
51,2,4.96249e+11,4.96249e+11,NA,311,311,NA,48,48,NA,263,263,NA,28,"Pattern cycling"
51,3,2559620,2559620,NA,280,280,NA,18,18,NA,262,262,NA,28,"Pattern cycling"
52,0,5.95722e+14,5.95722e+14,NA,308,308,NA,12,12,NA,296,296,NA,78,"Pattern cycling"
52,1,8.2804e+11,8.2804e+11,NA,275,275,NA,7,7,NA,268,268,NA,78,"Pattern cycling"
52,2,8.75053e+14,8.75053e+14,NA,342,342,NA,6,6,NA,336,336,NA,78,"Pattern cycling"
52,3,4.97582e+13,4.97582e+13,NA,564,564,NA,4,4,NA,560,560,NA,78,"Pattern cycling"
53,0,9.28884e+18,9.28884e+18,NA,452,452,NA,72,72,NA,380,380,NA,56,"Set pattern"
53,1,2.55402e+12,2.55402e+12,NA,410,410,NA,131,131,NA,279,279,NA,56,"Set pattern"
53,2,3.30357e+13,3.30357e+13,NA,418,418,NA,114,114,NA,304,304,NA,56,"Set pattern"
53,3,5.5332e+12,5.5332e+12,NA,521,521,NA,0,0,NA,521,521,NA,56,"Set pattern"
54,0,2.31161e+21,2.31161e+21,NA,428,428,NA,0,0,NA,428,428,NA,186,"Pattern cycling"
54,1,6.17258e+21,6.17258e+21,NA,490,490,NA,0,0,NA,490,490,NA,186,"Pattern cycling"
54,2,1.26404e+22,1.26404e+22,NA,497,497,NA,0,0,NA,497,497,NA,186,"Pattern cycling"
54,3,3.61852e+16,3.61852e+16,NA,677,677,NA,0,0,NA,677,677,NA,186,"Pattern cycling"
55,0,5.20831e+19,5.20831e+19,NA,399,399,NA,4,4,NA,395,395,NA,178,"Pattern cycling"
55,1,2.10917e+22,2.10917e+22,NA,510,510,NA,8,8,NA,502,502,NA,178,"Pattern cycling"
55,2,3.1683e+20,3.1683e+20,NA,488,488,NA,27,27,NA,461,461,NA,178,"Pattern cycling"
55,3,2.2224e+19,2.2224e+19,NA,819,819,NA,28,28,NA,791,791,NA,178,"Pattern cycling"
56,0,2.98916e+14,2.98916e+14,NA,296,296,NA,6,6,NA,290,290,NA,73,"Pattern cycling"
56,1,7.11096e+12,7.11096e+12,NA,291,291,NA,2,2,NA,289,289,NA,73,"Pattern cycling"
56,2,7.13007e+14,7.13007e+14,NA,340,340,NA,6,6,NA,334,334,NA,73,"Pattern cycling"
56,3,2161720,2161720,NA,261,261,NA,2,2,NA,259,259,NA,73,"Pattern cycling"
57,0,3.00079e+13,3.00079e+13,NA,313,313,NA,43,43,NA,270,270,NA,60,"Pattern cycling"
57,1,5.51233e+13,5.51233e+13,NA,331,331,NA,22,22,NA,309,309,NA,60,"Pattern cycling"
57,2,4.97582e+13,4.97582e+13,NA,349,349,NA,41,41,NA,308,308,NA,60,"Pattern cycling"
57,3,2.9398e+10,2.9398e+10,NA,451,451,NA,23,23,NA,428,428,NA,60,"Pattern cycling"
58,0,2.92033e+20,2.92033e+20,NA,445,445,NA,35,35,NA,410,410,NA,147,"Pattern cycling"
58,1,7.53489e+17,7.53489e+17,NA,606,606,NA,204,204,NA,402,402,NA,147,"Pattern cycling"
58,2,2.20512e+17,2.20512e+17,NA,509,509,NA,119,119,NA,390,390,NA,147,"Pattern cycling"
58,3,4.25697e+15,4.25697e+15,NA,699,699,NA,60,60,NA,639,639,NA,147,"Pattern cycling"
59,0,2.35692e+16,2.35692e+16,NA,342,342,NA,14,14,NA,328,328,NA,62,"Pattern cycling"
59,1,6.10668e+13,6.10668e+13,NA,317,317,NA,7,7,NA,310,310,NA,62,"Pattern cycling"
59,2,3.30357e+13,3.30357e+13,NA,329,329,NA,25,25,NA,304,304,NA,62,"Pattern cycling"
59,3,8.15419e+11,8.15419e+11,NA,505,505,NA,18,18,NA,487,487,NA,62,"Pattern cycling"
60,0,1.65021e+19,1.65021e+19,NA,400,400,NA,15,15,NA,385,385,NA,174,"Pattern cycling"
60,1,2.33032e+20,2.33032e+20,NA,488,488,NA,30,30,NA,458,458,NA,174,"Pattern cycling"
60,2,2.58158e+20,2.58158e+20,NA,482,482,NA,23,23,NA,459,459,NA,174,"Pattern cycling"
60,3,2004.12,2004.12,NA,135,135,NA,0,0,NA,135,135,NA,174,"Pattern cycling"
61,0,2.65429e+15,2.65429e+15,NA,311,311,NA,2,2,NA,309,309,NA,98,"Pattern cycling"
61,1,9.22257e+15,9.22257e+15,NA,361,361,NA,2,2,NA,359,359,NA,98,"Pattern cycling"
61,2,6.43611e+14,6.43611e+14,NA,350,350,NA,17,17,NA,333,333,NA,98,"Pattern cycling"
61,3,26266400000,26266400000,NA,427,427,NA,1,1,NA,426,426,NA,98,"Pattern cycling"
62,0,4.12268e+20,4.12268e+20,NA,470,470,NA,57,57,NA,413,413,NA,146,"Pattern cycling"
62,1,3.32135e+17,3.32135e+17,NA,457,457,NA,63,63,NA,394,394,NA,146,"Pattern cycling"
