genome,merit,merit_given,gen,nutrients_consumed_mean,moves_off_path_mean,map_idx, seed
"[101]RcccLcDbLckcDcnfLtcfaEcmccJKPxcLcKzzcjnKHccHHCReAdpBccMccbeJKccxcBcfANcrccJcoLgzvccHcvccaDjmcFoocccNG",4.15055e+12,62869.3,176,639,284,0, 162
"[96]dccQyFidJidccCcecfpQgHtPcJucafnkEcOPxPaHvcFHyhcbyspMDtsmwvFHjaMdHrmBcJwQcpKcBHHpcNHMqpHoqMGHwsQM",5.92265e+08,8.29609e+06,333,377,108,2, 163
"[102]rhuDctdoHxuftcjocOQGKrvMwfEHHcJObzmDsFIdqLuPzrRNqawOMgsIPGQJteEcFocqOIlfHQcccOxcCzocHjkKNiuIogmFGlidMD",1.44812e+11,67068.2,886,415,101,0, 164
"[101]cxbxcPNEysbbQugNHpuHdlcPcgnEbadcfcOcGNPfwFvrLxxKcxDcQcfOcHcbMascNJHoPKcbocHEcblccHgclxlclEcHzQHOzHuMG",2.95911e+13,2.10881e+06,419,426,47,0, 165
"[89]cHFAsJilbepuOitQyobQccvpejEbMpedotPNilKHwQeufHOGycNHLpjHLeQMkaJKcDfcHLBrHljKNDcFAstbuxHwn",5.09674e+08,3.07212e+06,568,268,1,2, 166
"[94]NcxvcKOjOGwQzxcJcCCKxoAiONgvAwlwxocPuBrqKnFzcNyNlOHCQaRPIQarocltOorscuIstQMHplHHoHtNJHHOtHBKcN",7.20071e+14,1.02834e+08,497,501,83,0, 167
"[86]wNPduOqFizccEhcOHLlcHuvMxbvuysydOHHJvxmhpeJHNpDrjjClrmPJhaaKcMxmlnnczBccHdbKcbcHaJxcHR",1.70586e+07,1.82568e+06,546,280,49,3, 168
"[101]tcgObPcdiHhLfwHslcoKfyAlcHsCcxowecciechHvcNLvBlwcBcjcjbAodNeHNcLNILakeeQFHMGydxecQcoecamajFePccaxtfIH",2.47254e+07,71221,358,430,222,0, 169
"[78]HHJOGMrDrAALAsMHjOKcpcdDaKncJoQmHkgbpvoKHxsbaEsrHmtcafLJscicdHeqhbzsnqumrcHwKa",1.12048e+12,675656,616,493,154,0, 17
"[93]QRwrCffotwuKMMcnyNQPKiuyietqccEcinscbmJFLHhcqccDdHkwccoccIErQMmPBHHcHKQHczgMuFccRcMcbLHechfJL",1.31975e+12,49667.7,277,463,122,0, 170
"[42]OoDecdEGzlcBcHKeccJHnecHHQJaeKHJHOeoHhLQHH",2.01248e+13,4.37285e+08,1880,751,306,1, 171
"[97]NccvcxnzckccyccmHLAzHccKcccpucqccicKccDfBccRBMBJqjckcbtsccibbQcMcmNcPcrtcncccrgJcAjczcKcJzccjccPk",1.42199e+08,62869.3,112,408,158,2, 172
"[101]acDcccOcccOjcccHcbHDccKccRcBnaKcgckcKcMcaHzqccOcncjwnOnHccRcHscuAcuRcJLuftDcylbsccecNOdcscPLzJvcNcHMG",3.70045e+15,7.18223e+06,152,842,404,0, 173
"[100]cAgzmcKccvJBeQOLtHoyucclccPdnLFccccwaccceHcmwHwaPGLDcFfcfcFocHmLMcsdHcHcHcfHiccjcHoMkumQmdocmaBHRlHL",7.67693e+12,20185.8,223,534,103,1, 174
"[102]HLBHccCccLchccHgcHHlLdcsLccycMAcccccgOckcgnxxcQGcjcdccNcckccccOcocJccBcREcHccEJNccncOyHcwjccgkccncsMcH",4.17015e+06,247.144,135,287,84,2, 175
"[104]nrccOcFhscDcvcenqhcbcxcesctcNftccglcyiHcgcsicccFccziiJHNHtckFccOcctcCbQBoqlccduJKBccpxspcmcccctnOMeiccMG",4.33693e+08,2937.93,147,281,38,0, 176
"[93]mFadKbmgJtcHvlpxJMcGOcQapGiNKLHgwcQdGDbHHFstpaMcscHHHnccNDccLcigcycRJbRddKcOHzfgRFCdQpisHHLHo",7.06682e+08,9.5253e+06,582,380,84,1, 177
"[108]JucOHQoceFccJBBfRhERczcjMyKrsdDKbQcupfnAccktrLIwcKKcvLbHJePgncHxfjwvHcKOAHQdcmHBhcFncccRcicLRxppatcMcnsDrAOG",6.53128e+15,2.41883e+09,356,855,326,1, 178
"[93]iftNubyNHarojBtQtKcMcNcxQbIcxzopcxjccdhBccBOEaLuJuxHmciHwHcwdcnKPwnjcBplrybFqcqJifOjsHMDDcDeG",1.60303e+07,32228.1,385,359,118,1, 179
"[104]pGHzattrhcchentHlcpgQDntmcngwcHACyRbjEjjHbPeJRAGrwbiKDLvGpAwxvxsnAsabdxGlwrqJcMJrHmDHmtAlQHgcOavLQlcghph",350637,26584.5,1777,159,3,0, 18
"[97]HpdcGscdxEuactcJcJcKcscceMcciMcHcccagcaHcDcoecDHcRLcDOwecObcecpcxHcjbJcHcaiHOdcjcwcHLvhcncFccBxQG",6.82482e+11,576117,206,663,285,3, 180
"[64]bKJPcnHdFPvPycOQHNgffQoDcHHbMwMcFHwpRFOcHwefHHzHuxchcQHlahcoqAsa",3.4473e+14,1.37991e+08,1356,534,125,0, 181
"[101]KHocchCciccceacvyzevtJHsKeOxPahDJHKhrvKltfDtOIvviacEctPpFHJOioOeHHtwccmLLLaOuhbucevcHuflHLhOLicKOiFhb",4.72737e+21,2.09921e+07,535,911,186,1, 182
"[52]iKMIJwQHJKHhcMdLHHfRaLHLPBlMNHHqKIilrNIKHKHbMdGKkgmd",1.26422e+08,6.08313e+07,3211,326,55,1, 183
"[98]KOcMoHAAkccccJccwcPkhcHcsxcccHcccbcHhoLHsNqcccdcBzcccuHdicwccccRGJvccccKBcBcpivccbvHacccLexHbarxpG",2.25336e+08,13857.8,170,250,15,0, 184
"[64]HlczvOfIoJsdgkycHFHkcbRKhcPAJuoCsyMjhzcHQbcaicHnvOogeaHohckcIHne",6.71089e+07,3.46808e+06,2379,694,454,2, 185
"[93]LQJrscgHQejucOcbeggnLkcsCccfverkcKKcztdgcvzgcQHzwHscPydufcJjezJHcpbcfnHBcNsiHcLPcHncnmInHcFMG",1.19466e+13,1.25542e+06,292,475,74,2, 186
"[102]tHQOJnOuAsAuapAHFsvicgMGHQFHxFHbeHPHcHhvBrgzOEHOGMKMonRcpPPbcaJvcHJDcvPdzDNCDoMuMEtjHvwdDqGwiwmaDcytOn",4.94268e+11,2.51642e+08,740,366,37,0, 187
"[84]nGIhvzoBayHmvewsBcvudMOcrcleHyQJjcqddcPbGuQehxEscKBcxJncucEncHHcqyfGRtzjEcAiiILRwjbJ",1.35431e+08,1.00122e+06,599,285,13,1, 188
"[99]DccycPNcQcMuJzsoiwNtHchcNjcgccpmsaccscccHcROPocsMcJHeMigcBHaHcPccchMgkpvkcDdPcrQcctrKQHscNcjEdNcbOy",4.00583e+13,41756.2,209,721,266,1, 189
"[52]JOnHHFlcNlcKPNPGkccclBfcHQcBeaJHHMGtimHOHBceAQhyiaBH",7.71909e+06,4.43323e+06,2412,269,49,3, 19
"[79]NsmFOAtdaHzJBazjkLgnPczPLfxalwcoClHCkRHNhpcHHdHmccjKpELnhbRaycjzuQCEcNygjiiJrQG",5.52074e+12,5.42858e+08,804,630,223,3, 190
"[102]cCccgLlgcrzwccyncfbcgcmcHcvnctcescuccrcccOHccccHyycjcNLGcHDccLkccchcacccvzccsfcccGHcQLccjxJLbccPxbtcFK",214.729,3.94854,79,78,0,1, 191
"[104]cgcarpfccGAPczKccbJiccjcFmgcDcvDcHEHcsNnpRccmcydlcJbtcPJlcOcmFtnOcGAcvcmRcccHcKRccmcLOjOAcccdCcHruokcmcH",6.6827e+06,74654.7,145,239,21,3, 192
"[95]bbLFHjjybvaOcHHAsozbaHsJocfoiekcccvebOcLBcxkHcicdcJMGHdFfxMkNcIMAQfRepiHKPcicytvebfyOcjcHpbnsHw",1.28625e+07,206866,539,246,28,2, 193
"[99]yfclceOFHFbcMAHcicyPnvMLucdLKjJMwFJvceccccdQycEccwcxciHccHtcceccctKEcevwaPvccvcdcNIwiHcBceBKLuamcnA",1.31975e+12,6899.04,166,488,147,0, 194
