genome,merit,merit_given,gen,nutrients_consumed_mean,moves_off_path_mean,map_idx, seed
"[84]JHpHHHHQfuHHIjlKtcwHNgpdaxwcHHHonKHLlIKEcHHIwKcHqcCaccFFJEOnDgjuqkKGKbfdBqCyEMcmqFvn",2.69884e+15,1.10925e+11,694,692,123,3, 196
"[98]FHNHQspccKORyaHxdORBcHcrcQqHHLHjcHDccRDcPHcvflccacIcrEjfyxHMCtccIrNbNPOcApxbKcnpafHHOiHIcnHcNOLcpG",6.48827e+16,1.73223e+13,339,750,97,1, 197
"[108]sjOinvcnAcHeCcRHxcmicccccgmKcxccccHIHccHcRpwOoacFacHccxclMaMdQlqaIhtcJKkccnfwsrdcdcItKtGzdlPpxccuJrKciKkcufs",1.02588e+09,67194.2,209,372,22,1, 198
"[81]FplHNKvbLFMRezBLpGvHHKcHIpawHHHHeRHqHowikAHmhENmkvujJuLqFuhHrQKbJnMjJJviuuOiLtjPn",2.39111e+15,2.80542e+12,3272,537,56,0, 199
"[88]QfEyHQbctBcFnDcpPMlBcaOcGpzfHexNzzpOluQQoDoscHHxrhwHKcCceHIeHHRreHIHcxHaQbOpfkrtwxgDcxHy",4.37804e+12,4.73052e+07,677,503,12,1, 2
"[102]pcebIHHwLDcrmcIcHccMccecpfcluccfcxacHPJnmcNsFKaievhcKRoFBczcdncwnNooLiJcLIObcBlHkHcocJjPGPexkchcIsxHax",5.16031e+18,3.83064e+08,259,804,114,3, 20
"[99]PcKcczcnHQIoexHMHOroFHeHPbEcdxHCcBIDdPcRHxccjcHHCNvLFoJhvAihcMBdkuaEozleymEyBzsQOHhOlMviuMfbKccEREG",2.14359e+18,1.09951e+12,346,982,270,1, 200
"[97]cPHdtdcHcQIcHHfcFKnHcladcBckciccccuDcacgcxcybHHocxHIctcHHGCPczcAxMGcHHspcDrcrHeicacpeiyHFcnxcfccO",1.00438e+07,28292.5,190,249,30,0, 21
"[92]cxytAtnccOhLIHkcBcrfcMKxphfzilaxHnskycfKixccdocqccNOcvtMGOPacjcOKcArcHFdMkzpRcHHwKoIxcHjcHRj",4.39785e+14,1.47888e+10,250,529,71,0, 22
"[95]HrHcpccccccqKcnBcsbcKcxKcNccftFQcGuHQNNcQccFucOJccccccxsccccHHmcKcccncJRRtnJxtzEhtktynccpQCPNlc",1.41063e+12,69222.9,264,526,146,0, 23
"[96]fQHHHpcccdccdbsccHaluocHnccNwkfwccbccBccEDHcHKwcuevLoGxPiccHAcHcDdfcMBgxcuqjKicMmpbcwHKcaBceJHOG",6.18623e+13,412569,230,592,118,2, 24
"[92]fHcMNcicCccccBHNmtzcccLbcdcNHfNFrpDHxDccOcvkcccccBctHukcAlccHccuADcuHccccnJeiBccKNPcccbJrcMs",1.07718e+18,5.03667e+08,164,699,135,0, 25
"[99]ccsADccxcycaAcxOEcHOccMOcsQpcccccyHecncccccKcMccccdcccQcxccccPBcROcccRcJciccDcnqgccciccckcccccccczG",8.55897e+08,1.0008e+08,63,394,87,2, 26
"[101]cwHcMcRHgcHcHMccMdnAPcHRcJcBJcNgcHMcNKcJcRapEvGcpDtctzcxRsGewDnOIdcjqcrFcpLPqHhvFcvclctciNNQucubzcHNG",2.14972e+13,5.46082e+07,177,481,64,0, 27
"[100]cHyPHtlncbKAsxmgccccQAceDoHcCcscccDqcDJcscccgcaLqzxAccrzccvmcpGccOxhccaAcocIMcccQcdFIcrcccccwNvAuxOG",1.28862e+06,132878,166,210,0,2, 28
